,Unnamed: 0,French,English
0,0,partie,part
1,1,seulement,only
2,2,police,police
3,3,pensais,thought
4,4,genre,kind
5,5,mois,month
6,6,frère,brother
7,7,laisser,let
8,8,car,because
9,9,mettre,to put
10,10,aucun,no
11,11,laisse,leash
12,12,eux,them
13,13,ville,city
14,14,chaque,each
15,15,parlé,speak
16,16,bébé,baby
17,17,longtemps,long time
18,18,vont,will
19,19,pendant,while
20,20,revoir,meet again
21,21,aucune,any
22,22,place,square
23,23,parle,speak
24,24,compris,understood
25,25,savais,knew
26,26,attention,Warning
27,27,voici,here is
28,28,pourrais,could
29,29,affaire,case
30,30,type,type
31,31,leurs,their
32,32,donné,given
33,33,corps,body
34,34,façon,way
35,35,écoute,listen
36,36,dont,whose
37,37,trouve,find
38,38,premier,first
39,39,perdu,lost
40,40,première,first
41,41,pouvoir,power
42,42,vieux,old
43,44,tiens,here
44,45,matin,morning
45,46,tellement,so much
46,47,point,point
47,48,venu,came
48,49,suite,after
49,50,pardon,sorry
50,51,venez,come
51,52,devant,in front of
52,53,demandé,request
53,54,chambre,bedroom
54,55,mis,placed
55,56,belle,beautiful
56,57,droit,law
57,58,aimerais,would like to
58,59,aujourd'hui,today
59,60,mari,husband
60,61,cause,cause
61,62,enfin,finally
62,63,espère,hope
63,64,eau,water
64,65,attendez,Wait
65,66,parti,left
66,67,nouvelle,new
67,68,boulot,job
68,69,arrêter,Stop
69,70,dirait,would say
70,71,terre,Earth
71,72,compte,account
72,73,donne,given
73,74,fin,end
74,75,croire,believe
75,76,chérie,sweetheart
76,77,gros,large
77,78,plutôt,rather
78,79,filles,girls
